system:index,CO_density,City,Date,Ward,.geo
0000000000000000001f_0,0.03539125056808302,Banglore,01-01-2019,Kempegowda Ward,
0000000000000000001f_1,0.04186385435134157,Banglore,01-04-2019,Kempegowda Ward,
0000000000000000001f_2,0.02388961115010306,Banglore,01-07-2019,Kempegowda Ward,
0000000000000000001f_3,0.03323500934674836,Banglore,01-10-2019,Kempegowda Ward,
0000000000000000001f_4,0.03536509582686623,Banglore,01-01-2020,Kempegowda Ward,
0000000000000000001f_5,0.04012963728618042,Banglore,01-04-2020,Kempegowda Ward,
0000000000000000001f_6,0.023732120499154123,Banglore,01-07-2020,Kempegowda Ward,
0000000000000000001f_7,0.032832231452335305,Banglore,01-10-2020,Kempegowda Ward,
0000000000000000002c_0,0.035634214398101174,Banglore,01-01-2019,Chowdeswari Ward,
0000000000000000002c_1,0.042032551745479735,Banglore,01-04-2019,Chowdeswari Ward,
0000000000000000002c_2,0.023856286881057585,Banglore,01-07-2019,Chowdeswari Ward,
0000000000000000002c_3,0.03295836809973335,Banglore,01-10-2019,Chowdeswari Ward,
0000000000000000002c_4,0.03529410513858933,Banglore,01-01-2020,Chowdeswari Ward,
0000000000000000002c_5,0.04026337095068342,Banglore,01-04-2020,Chowdeswari Ward,
0000000000000000002c_6,0.02375217268958021,Banglore,01-07-2020,Chowdeswari Ward,
0000000000000000002c_7,0.03286903464709945,Banglore,01-10-2020,Chowdeswari Ward,
0000000000000000002d_0,0.035910430686135725,Banglore,01-01-2019,Atturu,
0000000000000000002d_1,0.04231526698429035,Banglore,01-04-2019,Atturu,
0000000000000000002d_2,0.023828644677717885,Banglore,01-07-2019,Atturu,
0000000000000000002d_3,0.033047064919789176,Banglore,01-10-2019,Atturu,
0000000000000000002d_4,0.03551336304710302,Banglore,01-01-2020,Atturu,
0000000000000000002d_5,0.04048334366944317,Banglore,01-04-2020,Atturu,
0000000000000000002d_6,0.02396449220404149,Banglore,01-07-2020,Atturu,
0000000000000000002d_7,0.03283175669633352,Banglore,01-10-2020,Atturu,
0000000000000000002e_0,0.03611362686258387,Banglore,01-01-2019,Yelahanka Satellite Town,
0000000000000000002e_1,0.04203030170896613,Banglore,01-04-2019,Yelahanka Satellite Town,
0000000000000000002e_2,0.02371003423768846,Banglore,01-07-2019,Yelahanka Satellite Town,
0000000000000000002e_3,0.03331007879219036,Banglore,01-10-2019,Yelahanka Satellite Town,
0000000000000000002e_4,0.03576268781587144,Banglore,01-01-2020,Yelahanka Satellite Town,
0000000000000000002e_5,0.040431098706045915,Banglore,01-04-2020,Yelahanka Satellite Town,
0000000000000000002e_6,0.02380975672931567,Banglore,01-07-2020,Yelahanka Satellite Town,
0000000000000000002e_7,0.03312479621211917,Banglore,01-10-2020,Yelahanka Satellite Town,
00000000000000000020_0,0.03552664550813234,Banglore,01-01-2019,K R Puram,
00000000000000000020_1,0.041879976908700725,Banglore,01-04-2019,K R Puram,
00000000000000000020_2,0.024015950969221576,Banglore,01-07-2019,K R Puram,
00000000000000000020_3,0.033623432567392496,Banglore,01-10-2019,K R Puram,
00000000000000000020_4,0.03441768464168412,Banglore,01-01-2020,K R Puram,
00000000000000000020_5,0.03995187212819952,Banglore,01-04-2020,K R Puram,
00000000000000000020_6,0.023958622825631652,Banglore,01-07-2020,K R Puram,
00000000000000000020_7,0.03381503901206858,Banglore,01-10-2020,K R Puram,
00000000000000000028_0,0.03572481684598041,Banglore,01-01-2019,Ramamurthy Nagar,
